Au_pd _ on Au,Au_pd _ on Au,Au_pd _ on Au,Au_pd _ on Au,Au_NP on 1ML PD,Au_NP on 1ML PD,Au_NP on 1ML PD,Au_NP on 1ML PD,Au_NP on Au,Au_NP on Au,Au_NP on Au,Au_NP on Au
laser power 0.05 mW,laser power 0.1 mW,laser power 0.15mW,laser power 0.2mW,laser power 0.05 mW,laser power 0.1 mW,laser power 0.15 mW,laser power 0.20 mW,laser power 0.05 mW,laser power 0.1 mW,laser power 0.15 mW,laser power 0.2mW
726.763, 724.89435, 727.49042, 727.21326, 725.66589, 727.77856, 726.17889, 726.17889, 727.37897, 727.68365, 728.64478, 727.58069
728.77313, 726.90204, 729.49713, 729.2135, 727.69391, 729.81403, 728.20911, 728.20911, 729.38586, 729.69159, 730.65912, 729.58716
730.78271, 728.9093, 731.50342, 731.21326, 729.72144, 731.84888, 730.23871, 730.23871, 731.39227, 731.6991, 732.67297, 731.59314
732.79187, 730.91602, 733.50916, 733.21252, 731.74841, 733.88312, 732.26782, 732.26782, 733.39819, 733.70612, 734.68628, 733.59869
734.80048, 732.9223, 735.51447, 735.21136, 733.77478, 735.91675, 734.29633, 734.29633, 735.40363, 735.71265, 736.6991, 735.6037
736.80859, 734.92804, 737.51929, 737.20978, 735.80066, 737.94983, 736.32428, 736.32428, 737.40863, 737.71863, 738.71136, 737.60822
738.81628, 736.93329, 739.52362, 739.2077, 737.82593, 739.9823, 738.35168, 738.35168, 739.41315, 739.72418, 740.72308, 739.6123
740.82343, 738.93811, 741.52747, 741.2052, 739.85065, 742.01416, 740.37854, 740.37854, 741.41718, 741.72925, 742.73431, 741.61584
742.83008, 740.94238, 743.53082, 743.20227, 741.87482, 744.04547, 742.40485, 742.40485, 743.42072, 743.73383, 744.745, 743.6189
744.83624, 742.94617, 745.53369, 745.19885, 743.89844, 746.07611, 744.4306, 744.4306, 745.42377, 745.73785, 746.75513, 745.62146
746.84198, 744.94952, 747.53607, 747.19495, 745.92151, 748.10626, 746.45581, 746.45581, 747.42639, 747.74146, 748.76477, 747.62354
748.84717, 746.95233, 749.53796, 749.19061, 747.94403, 750.13574, 748.48041, 748.48041, 749.42853, 749.74457, 750.77386, 749.62506
750.85187, 748.95471, 751.53937, 751.18585, 749.96594, 752.16461, 750.50452, 750.50452, 751.43018, 751.74719, 752.78241, 751.62616
752.85608, 750.95654, 753.54028, 753.1806, 751.98737, 754.19293, 752.52802, 752.52802, 753.4314, 753.74927, 754.79047, 753.62677
754.8598, 752.95795, 755.54077, 755.17493, 754.00818, 756.22064, 754.55103, 754.55103, 755.43207, 755.75092, 756.79797, 755.62689
756.86304, 754.9588, 757.54071, 757.16882, 756.0285, 758.2478, 756.57343, 756.57343, 757.43231, 757.75208, 758.80499, 757.62646
758.86578, 756.95917, 759.54022, 759.16217, 758.04822, 760.27435, 758.59528, 758.59528, 759.43207, 759.75269, 760.81146, 759.62561
760.86804, 758.95911, 761.53918, 761.15515, 760.06738, 762.30023, 760.61658, 760.61658, 761.43134, 761.75287, 762.81738, 761.62421
762.86981, 760.9585, 763.53772, 763.14764, 762.086, 764.32562, 762.63733, 762.63733, 763.43018, 763.75256, 764.82281, 763.62238
764.87109, 762.95746, 765.53577, 765.13971, 764.10406, 766.35034, 764.65753, 764.65753, 765.42853, 765.75171, 766.8277, 765.62
766.87189, 764.95587, 767.53333, 767.13129, 766.12158, 768.37451, 766.67719, 766.67719, 767.42633, 767.75043, 768.83209, 767.61713
768.87219, 766.95386, 769.53033, 769.12244, 768.13849, 770.39807, 768.69629, 768.69629, 769.42377, 769.7486, 770.83594, 769.61377
770.87201, 768.95129, 771.52692, 771.1131, 770.15491, 772.42102, 770.71484, 770.71484, 771.42065, 771.74634, 772.83923, 771.60999
772.87134, 770.9483, 773.52301, 773.10333, 772.17072, 774.44342, 772.73279, 772.73279, 773.41711, 773.74359, 774.84198, 773.60565
774.87018, 772.94476, 775.51868, 775.09314, 774.18604, 776.46521, 774.75024, 774.75024, 775.41302, 775.7403, 776.84424, 775.60083
776.86853, 774.9408, 777.51379, 777.08246, 776.20074, 778.48639, 776.76709, 776.76709, 777.40857, 777.73657, 778.84601, 777.59552
778.86639, 776.93628, 779.50842, 779.07135, 778.2149, 780.50696, 778.78345, 778.78345, 779.40356, 779.7323, 780.84717, 779.58972
780.86371, 778.93134, 781.50256, 781.05975, 780.22852, 782.52698, 780.79919, 780.79919, 781.39807, 781.7276, 782.8479, 781.58337
782.8606, 780.92584, 783.49628, 783.04773, 782.24158, 784.54639, 782.81439, 782.81439, 783.39215, 783.72235, 784.84802, 783.5766
784.85699, 782.91992, 785.48944, 785.03522, 784.25409, 786.56519, 784.82904, 784.82904, 785.38574, 785.71667, 786.84766, 785.56934
786.85291, 784.91345, 787.48212, 787.02228, 786.26605, 788.58344, 786.84314, 786.84314, 787.37885, 787.71051, 788.84674, 787.56152
788.84827, 786.90656, 789.47437, 789.00891, 788.2774, 790.60101, 788.85669, 788.85669, 789.37146, 789.7038, 790.84534, 789.55328
790.8432, 788.89911, 791.46613, 790.99506, 790.28827, 792.61804, 790.86969, 790.86969, 791.36365, 791.69666, 792.84338, 791.54449
792.83765, 790.89124, 793.45734, 792.98071, 792.29852, 794.63452, 792.88214, 792.88214, 793.35535, 793.68896, 794.84088, 793.53528
794.83154, 792.88287, 795.44812, 794.966, 794.30829, 796.65033, 794.89398, 794.89398, 795.34656, 795.68085, 796.83789, 795.52551
796.82501, 794.87396, 797.43842, 796.95074, 796.31744, 798.66559, 796.90533, 796.90533, 797.33728, 797.67218, 798.83435, 797.51532
798.81793, 796.86462, 799.42822, 798.93512, 798.32605, 800.68024, 798.91608, 798.91608, 799.32758, 799.66309, 800.83026, 799.50458
800.81042, 798.85474, 801.41754, 800.91901, 800.33411, 802.69434, 800.92633, 800.92633, 801.31732, 801.65344, 802.82568, 801.49335
802.80237, 800.84442, 803.40637, 802.9024, 802.34161, 804.70776, 802.93597, 802.93597, 803.30664, 803.64331, 804.82056, 803.48163
804.79388, 802.83356, 805.39471, 804.88538, 804.34851, 806.72064, 804.94507, 804.94507, 805.29547, 805.63275, 806.81494, 805.46942
806.78485, 804.82227, 807.38257, 806.86792, 806.35492, 808.73297, 806.95361, 806.95361, 807.28387, 807.62164, 808.80878, 807.45673
808.77539, 806.81049, 809.36993, 808.84998, 808.36078, 810.74463, 808.96161, 808.96161, 809.27173, 809.61011, 810.80206, 809.44354
810.76538, 808.79816, 811.35687, 810.8316, 810.36603, 812.75574, 810.96906, 810.96906, 811.25916, 811.59802, 812.79486, 811.42987
812.75488, 810.7854, 813.34326, 812.81274, 812.37073, 814.76624, 812.97595, 812.97595, 813.24609, 813.58551, 814.78711, 813.41571
814.74396, 812.77209, 815.32922, 814.79346, 814.37488, 816.77612, 814.9823, 814.9823, 815.2326, 815.57245, 816.77881, 815.401
816.73248, 814.75836, 817.31464, 816.77374, 816.37854, 818.78546, 816.9881, 816.9881, 817.21857, 817.5589, 818.77002, 817.38586
818.72052, 816.74414, 819.29962, 818.75354, 818.38159, 820.79419, 818.99329, 818.99329, 819.2041, 819.54492, 820.76068, 819.37024
820.70813, 818.72937, 821.28406, 820.73291, 820.38403, 822.80231, 820.99799, 820.99799, 821.18915, 821.5304, 822.75085, 821.35406
822.69519, 820.71417, 823.26807, 822.71179, 822.38599, 824.80981, 823.00208, 823.00208, 823.17371, 823.51544, 824.74048, 823.33746
824.68176, 822.69849, 825.25159, 824.69025, 824.38739, 826.81677, 825.00568, 825.00568, 825.15778, 825.49994, 826.72955, 825.32031
826.66785, 824.68225, 827.23462, 826.66821, 826.38824, 828.82312, 827.00867, 827.00867, 827.14142, 827.48395, 828.71814, 827.30267
828.6535, 826.66559, 829.21716, 828.64575, 828.38849, 830.82886, 829.01111, 829.01111, 829.12457, 829.46753, 830.70618, 829.28461
830.63861, 828.64844, 831.19922, 830.62286, 830.38818, 832.83405, 831.013, 831.013, 831.10724, 831.45056, 832.69366, 831.26599
832.62323, 830.63074, 833.18079, 832.59949, 832.38739, 834.83856, 833.01434, 833.01434, 833.08942, 833.43311, 834.68066, 833.24689
834.60736, 832.61261, 835.16187, 834.57562, 834.38599, 836.84253, 835.01514, 835.01514, 835.07117, 835.41522, 836.66711, 835.22729
836.591, 834.59399, 837.14246, 836.55139, 836.38403, 838.84595, 837.01538, 837.01538, 837.05237, 837.39679, 838.65308, 837.20721
838.57416, 836.57483, 839.12262, 838.52661, 838.38153, 840.84869, 839.01508, 839.01508, 839.03314, 839.37787, 840.63849, 839.18665
840.55682, 838.55524, 841.10223, 840.50146, 840.37848, 842.85089, 841.01422, 841.01422, 841.01343, 841.35846, 842.62335, 841.16559
842.539, 840.53516, 843.08136, 842.47583, 842.37482, 844.85248, 843.01276, 843.01276, 842.99329, 843.33862, 844.60773, 843.14404
844.52069, 842.51453, 845.06006, 844.44971, 844.37067, 846.85352, 845.0108, 845.0108, 844.9726, 845.31824, 846.59155, 845.12195
846.50189, 844.49347, 847.03821, 846.42316, 846.36591, 848.85388, 847.00824, 847.00824, 846.95148, 847.29736, 848.57483, 847.09943
848.4826, 846.47192, 849.01593, 848.39618, 848.36066, 850.8537, 849.00513, 849.00513, 848.92987, 849.27606, 850.55762, 849.07642
850.46283, 848.44989, 850.99316, 850.36871, 850.3548, 852.85297, 851.00153, 851.00153, 850.90778, 851.25421, 852.53986, 851.05286
852.44257, 850.42731, 852.96991, 852.34082, 852.34839, 854.85156, 852.99731, 852.99731, 852.88525, 853.23187, 854.52155, 853.02887
854.42175, 852.4043, 854.94611, 854.31244, 854.34143, 856.84961, 854.99255, 854.99255, 854.86224, 855.20905, 856.50275, 855.00433
856.40051, 854.3808, 856.92188, 856.28363, 856.33392, 858.84705, 856.98724, 856.98724, 856.83875, 857.18573, 858.48346, 856.97931
858.37878, 856.35681, 858.89716, 858.25439, 858.32587, 860.84387, 858.98138, 858.98138, 858.81476, 859.16199, 860.46356, 858.95386
860.35657, 858.33228, 860.87195, 860.22467, 860.31726, 862.84015, 860.97498, 860.97498, 860.79028, 861.1377, 862.44318, 860.92786
862.33386, 860.30731, 862.84625, 862.19446, 862.30804, 864.83582, 862.96796, 862.96796, 862.76538, 863.11292, 864.4223, 862.90137
864.31061, 862.28186, 864.82013, 864.16388, 864.29834, 866.83087, 864.96045, 864.96045, 864.73993, 865.08765, 866.40082, 864.87439
866.28693, 864.25592, 866.79346, 866.13275, 866.28802, 868.82532, 866.95233, 866.95233, 866.71411, 867.06189, 868.37891, 866.84692
868.26276, 866.22949, 868.7663, 868.10126, 868.27722, 870.81921, 868.94373, 868.94373, 868.68774, 869.03571, 870.35638, 868.81897
870.23804, 868.20251, 870.73871, 870.06927, 870.26581, 872.8125, 870.93451, 870.93451, 870.66089, 871.00897, 872.33337, 870.79053
872.21289, 870.17511, 872.71057, 872.0368, 872.25385, 874.80518, 872.9248, 872.9248, 872.63361, 872.98175, 874.30981, 872.7616
874.18726, 872.14722, 874.68201, 874.00391, 874.24133, 876.7973, 874.91449, 874.91449, 874.60583, 874.95404, 876.28577, 874.73218
876.16107, 874.11884, 876.65289, 875.97058, 876.22827, 878.78876, 876.90363, 876.90363, 876.57758, 876.92584, 878.26117, 876.70227
878.13446, 876.08997, 878.62335, 877.93677, 878.21466, 880.77966, 878.89221, 878.89221, 878.54883, 878.89716, 880.23602, 878.67181
880.1073, 878.06055, 880.59332, 879.90253, 880.20044, 882.77002, 880.88025, 880.88025, 880.51965, 880.86798, 882.21039, 880.64093
882.07971, 880.0307, 882.56281, 881.8678, 882.18573, 884.7597, 882.86774, 882.86774, 882.48999, 882.83832, 884.1842, 882.6095
884.05157, 882.00037, 884.53174, 883.83264, 884.17041, 886.74884, 884.85461, 884.85461, 884.45984, 884.80817, 886.15753, 884.57764
886.02301, 883.96954, 886.50024, 885.79706, 886.1546, 888.73737, 886.841, 886.841, 886.4292, 886.77759, 888.13025, 886.54523
887.9939, 885.93823, 888.46826, 887.76099, 888.13818, 890.72534, 888.82684, 888.82684, 888.39813, 888.74646, 890.10254, 888.51233
889.96429, 887.90643, 890.43585, 889.72443, 890.12122, 892.71271, 890.81207, 890.81207, 890.36652, 890.71484, 892.07422, 890.479
891.93427, 889.87408, 892.40289, 891.68744, 892.1037, 894.6994, 892.79681, 892.79681, 892.33447, 892.68274, 894.04541, 892.44513
893.90369, 891.84131, 894.36945, 893.65002, 894.08563, 896.68561, 894.78094, 894.78094, 894.30194, 894.65015, 896.01611, 894.41077
895.87262, 893.80804, 896.33551, 895.61218, 896.06702, 898.67114, 896.76453, 896.76453, 896.26898, 896.61707, 897.98621, 896.37592
897.84113, 895.77429, 898.30115, 897.57385, 898.04785, 900.65613, 898.74756, 898.74756, 898.23547, 898.5835, 899.95581, 898.34058
899.80908, 897.74005, 900.26624, 899.53503, 900.02808, 902.6405, 900.7301, 900.7301, 900.20154, 900.54944, 901.92493, 900.30475
901.77655, 899.70532, 902.2309, 901.49579, 902.00781, 904.62427, 902.71204, 902.71204, 902.16711, 902.51489, 903.89349, 902.26843
903.74353, 901.6701, 904.19501, 903.45612, 903.98694, 906.60748, 904.69336, 904.69336, 904.13226, 904.47986, 905.86151, 904.23163
905.71008, 903.6344, 906.15869, 905.41595, 905.96552, 908.59009, 906.67419, 906.67419, 906.09686, 906.44434, 907.82904, 906.19427
907.67609, 905.59821, 908.12189, 907.37537, 907.9436, 910.57208, 908.65448, 908.65448, 908.06104, 908.40833, 909.79602, 908.15649
909.6416, 907.56152, 910.08453, 909.33429, 909.92108, 912.55347, 910.63422, 910.63422, 910.02472, 910.37183, 911.76245, 910.11823
911.60663, 909.52429, 912.04675, 911.29279, 911.89801, 914.5343, 912.61334, 912.61334, 911.98792, 912.33484, 913.72839, 912.07941
913.57117, 911.48663, 914.00848, 913.25079, 913.87433, 916.51453, 914.59198, 914.59198, 913.95062, 914.29736, 915.69379, 914.04016
915.53522, 913.44849, 915.96973, 915.20837, 915.85016, 918.49414, 916.57001, 916.57001, 915.9129, 916.2594, 917.65863, 916.00037
917.49878, 915.40985, 917.93048, 917.16553, 917.82544, 920.47321, 918.54749, 918.54749, 917.87469, 918.22095, 919.62299, 917.96008
919.46185, 917.37073, 919.89075, 919.12219, 919.80011, 922.45166, 920.52448, 920.52448, 919.836, 920.18195, 921.58679, 919.91937
921.42444, 919.33112, 921.85052, 921.07843, 921.77429, 924.4295, 922.50085, 922.50085, 921.79681, 922.14252, 923.55011, 921.87811
923.38654, 921.29102, 923.80988, 923.03418, 923.74786, 926.40674, 924.47668, 924.47668, 923.75714, 924.1026, 925.51288, 923.83636
925.34814, 923.25043, 925.76868, 924.9895, 925.72089, 928.38342, 926.45197, 926.45197, 925.71704, 926.06219, 927.4751, 925.79413
927.30927, 925.20935, 927.72705, 926.9444, 927.69336, 930.35944, 928.4267, 928.4267, 927.67645, 928.0213, 929.43683, 927.7514
929.2699, 927.16779, 929.68488, 928.8988, 929.66528, 932.33496, 930.40082, 930.40082, 929.63538, 929.97992, 931.39801, 929.70819
931.23004, 929.12573, 931.64227, 930.85272, 931.63666, 934.30981, 932.37445, 932.37445, 931.59381, 931.93805, 933.35864, 931.66449
933.18964, 931.08319, 933.59912, 932.80627, 933.60748, 936.28412, 934.34753, 934.34753, 933.55182, 933.89569, 935.31879, 933.6203
935.1488, 933.04016, 935.55554, 934.75928, 935.57776, 938.25781, 936.32001, 936.32001, 935.50934, 935.85278, 937.27838, 935.57562
937.10748, 934.99664, 937.51147, 936.71191, 937.54742, 940.2309, 938.29199, 938.29199, 937.46637, 937.80945, 939.23749, 937.5304
939.06567, 936.95264, 939.46686, 938.66406, 939.5166, 942.20337, 940.26337, 940.26337, 939.42291, 939.76562, 941.19604, 939.48474
941.02338, 938.90814, 941.42181, 940.61572, 941.48517, 944.17529, 942.23419, 942.23419, 941.37903, 941.72131, 943.15405, 941.4386
942.98053, 940.86316, 943.37628, 942.56696, 943.45319, 946.14661, 944.20447, 944.20447, 943.33459, 943.67651, 945.11157, 943.39191
944.93726, 942.81769, 945.33026, 944.51776, 945.42065, 948.11737, 946.17419, 946.17419, 945.28973, 945.63123, 947.06854, 945.34479
946.89349, 944.77173, 947.28375, 946.46808, 947.38757, 950.08746, 948.14337, 948.14337, 947.24438, 947.58539, 949.02496, 947.29712
948.84918, 946.72528, 949.23682, 948.41797, 949.35394, 952.05701, 950.112, 950.112, 949.19861, 949.53912, 950.9809, 949.24896
950.80444, 948.67834, 951.18933, 950.36737, 951.31976, 954.02594, 952.08008, 952.08008, 951.15228, 951.49237, 952.93628, 951.20032
952.75916, 950.63092, 953.14136, 952.31635, 953.28503, 955.99432, 954.04761, 954.04761, 953.10553, 953.44513, 954.89117, 953.15125
954.71344, 952.58301, 955.09296, 954.26483, 955.24976, 957.96204, 956.01459, 956.01459, 955.05829, 955.39734, 956.84552, 955.10162
956.66718, 954.53461, 957.04401, 956.21289, 957.21387, 959.9292, 957.98096, 957.98096, 957.01062, 957.34912, 958.79932, 957.05151
958.62048, 956.48578, 958.99463, 958.16052, 959.17743, 961.89575, 959.94684, 959.94684, 958.9624, 959.30042, 960.75262, 959.00092
960.57324, 958.4364, 960.9447, 960.10767, 961.1405, 963.86176, 961.91211, 961.91211, 960.91376, 961.25122, 962.70538, 960.94983
962.52557, 960.38654, 962.89435, 962.05438, 963.10297, 965.82715, 963.87683, 963.87683, 962.86462, 963.20148, 964.65759, 962.89825
964.47736, 962.33618, 964.84344, 964.00061, 965.06488, 967.79193, 965.84106, 965.84106, 964.815, 965.15131, 966.60931, 964.84613
966.42871, 964.28534, 966.79211, 965.94641, 967.02625, 969.7561, 967.80469, 967.80469, 966.76489, 967.10065, 968.56049, 966.79358
968.37952, 966.23401, 968.7403, 967.89172, 968.98706, 971.71973, 969.76776, 969.76776, 968.71436, 969.04944, 970.51117, 968.74054
970.32983, 968.18219, 970.68799, 969.83661, 970.94727, 973.68274, 971.73029, 971.73029, 970.66333, 970.9978, 972.4613, 970.68695
972.27972, 970.12988, 972.63519, 971.78107, 972.90698, 975.64514, 973.69226, 973.69226, 972.61182, 972.94568, 974.41089, 972.63293
974.22906, 972.07709, 974.58191, 973.72504, 974.86615, 977.60693, 975.65363, 975.65363, 974.55981, 974.89301, 976.35999, 974.57837
976.17792, 974.0238, 976.52814, 975.66858, 976.82471, 979.56818, 977.6145, 977.6145, 976.50732, 976.8399, 978.30853, 976.52338
978.12634, 975.97009, 978.47394, 977.61163, 978.78271, 981.52881, 979.57483, 979.57483, 978.45441, 978.78632, 980.25653, 978.46783
980.07422, 977.91583, 980.41919, 979.55426, 980.74017, 983.48883, 981.53455, 981.53455, 980.401, 980.73218, 982.20404, 980.4118
982.02161, 979.86108, 982.36395, 981.49646, 982.69714, 985.4483, 983.49377, 983.49377, 982.34711, 982.67761, 984.151, 982.35535
983.96851, 981.80585, 984.30829, 983.43817, 984.6535, 987.4071, 985.45239, 985.45239, 984.29272, 984.62256, 986.09747, 984.29834
985.91492, 983.75012, 986.25208, 985.37939, 986.60925, 989.36536, 987.41046, 987.41046, 986.23792, 986.56696, 988.04333, 986.24084
987.86084, 985.69391, 988.19543, 987.32019, 988.56451, 991.32306, 989.36798, 989.36798, 988.18262, 988.51093, 989.98877, 988.18286
989.80634, 987.63727, 990.13824, 989.26056, 990.51923, 993.28009, 991.32501, 991.32501, 990.12683, 990.45435, 991.93359, 990.12439
991.75128, 989.58008, 992.08063, 991.20044, 992.47333, 995.23657, 993.28143, 993.28143, 992.07056, 992.39734, 993.87793, 992.06543
993.69574, 991.5224, 994.02252, 993.13989, 994.42694, 997.19244, 995.2373, 995.2373, 994.01385, 994.33984, 995.82178, 994.00598
995.63971, 993.46423, 995.96393, 995.07892, 996.37994, 999.14777, 997.19257, 997.19257, 995.9566, 996.2818, 997.76508, 995.94598
997.58319, 995.40558, 997.90479, 997.01746, 998.3324, 1001.1024, 999.14734, 999.14734, 997.89893, 998.22333, 999.70782, 997.88556
999.52618, 997.3465, 999.84521, 998.95551, 1000.2844, 1003.0565, 1001.1016, 1001.1016, 999.84076, 1000.1643, 1001.65, 999.82465
1001.4687, 999.28687, 1001.7852, 1000.8931, 1002.2357, 1005.0101, 1003.0552, 1003.0552, 1001.7822, 1002.1049, 1003.5917, 1001.7632
1003.4107, 1001.2267, 1003.7247, 1002.8303, 1004.1865, 1006.963, 1005.0083, 1005.0083, 1003.723, 1004.0449, 1005.5329, 1003.7013
1005.3522, 1003.1661, 1005.6636, 1004.767, 1006.1367, 1008.9153, 1006.9608, 1006.9608, 1005.6635, 1005.9844, 1007.4736, 1005.6389
1007.2932, 1005.105, 1007.6021, 1006.7033, 1008.0864, 1010.867, 1008.9128, 1008.9128, 1007.6034, 1007.9235, 1009.4137, 1007.576
1009.2338, 1007.0435, 1009.5401, 1008.6392, 1010.0356, 1012.8181, 1010.8643, 1010.8643, 1009.5428, 1009.8621, 1011.3533, 1009.5126
1011.1738, 1008.9814, 1011.4777, 1010.5745, 1011.9841, 1014.7687, 1012.8151, 1012.8151, 1011.4819, 1011.8001, 1013.2924, 1011.4487
1013.1134, 1010.9189, 1013.4147, 1012.5094, 1013.9321, 1016.7186, 1014.7654, 1014.7654, 1013.4204, 1013.7377, 1015.2309, 1013.3843
1015.0525, 1012.8558, 1015.3513, 1014.4438, 1015.8796, 1018.668, 1016.7152, 1016.7152, 1015.3585, 1015.6748, 1017.1689, 1015.3194
1016.991, 1014.7924, 1017.2873, 1016.3779, 1017.8265, 1020.6167, 1018.6644, 1018.6644, 1017.296, 1017.6115, 1019.1064, 1017.254
1018.9291, 1016.7283, 1019.2229, 1018.3114, 1019.7729, 1022.5649, 1020.6131, 1020.6131, 1019.2331, 1019.5475, 1021.0434, 1019.1882
1020.8668, 1018.6638, 1021.158, 1020.2445, 1021.7187, 1024.5125, 1022.5612, 1022.5612, 1021.1697, 1021.4832, 1022.9798, 1021.1218
1022.8038, 1020.5989, 1023.0927, 1022.1772, 1023.6639, 1026.4595, 1024.5088, 1024.5088, 1023.1058, 1023.4183, 1024.9158, 1023.055
1024.7405, 1022.5334, 1025.0267, 1024.1094, 1025.6086, 1028.4058, 1026.4557, 1026.4557, 1025.0415, 1025.353, 1026.8511, 1024.9877
1026.6766, 1024.4674, 1026.9604, 1026.0411, 1027.5527, 1030.3516, 1028.4022, 1028.4022, 1026.9767, 1027.2872, 1028.786, 1026.9198
1028.6123, 1026.401, 1028.8936, 1027.9724, 1029.4963, 1032.2968, 1030.348, 1030.348, 1028.9115, 1029.2208, 1030.7203, 1028.8516
1030.5474, 1028.334, 1030.8263, 1029.9032, 1031.4393, 1034.2413, 1032.2933, 1032.2933, 1030.8457, 1031.1541, 1032.6542, 1030.7827
1032.4821, 1030.2666, 1032.7584, 1031.8336, 1033.3818, 1036.1854, 1034.2382, 1034.2382, 1032.7794, 1033.0868, 1034.5874, 1032.7134
1034.4163, 1032.1987, 1034.6902, 1033.7635, 1035.3237, 1038.1288, 1036.1824, 1036.1824, 1034.7128, 1035.0189, 1036.5201, 1034.6436
1036.35, 1034.1302, 1036.6215, 1035.693, 1037.265, 1040.0717, 1038.126, 1038.126, 1036.6456, 1036.9507, 1038.4524, 1036.5734
1038.2831, 1036.0614, 1038.5521, 1037.6219, 1039.2058, 1042.0139, 1040.0691, 1040.0691, 1038.5779, 1038.882, 1040.384, 1038.5026
1040.2158, 1037.9921, 1040.4824, 1039.5505, 1041.1461, 1043.9554, 1042.0117, 1042.0117, 1040.5098, 1040.8126, 1042.3153, 1040.4313
1042.1481, 1039.9221, 1042.4122, 1041.4786, 1043.0858, 1045.8965, 1043.9537, 1043.9537, 1042.4412, 1042.7429, 1044.2458, 1042.3595
1044.0797, 1041.8518, 1044.3416, 1043.4064, 1045.0249, 1047.8369, 1045.8951, 1045.8951, 1044.3721, 1044.6727, 1046.176, 1044.2872
1046.011, 1043.781, 1046.2703, 1045.3335, 1046.9635, 1049.7769, 1047.8361, 1047.8361, 1046.3026, 1046.6019, 1048.1056, 1046.2145
1047.9418, 1045.7096, 1048.1986, 1047.2603, 1048.9015, 1051.7161, 1049.7764, 1049.7764, 1048.2325, 1048.5308, 1050.0347, 1048.1412
1049.8719, 1047.6378, 1050.1265, 1049.1865, 1050.839, 1053.6548, 1051.7162, 1051.7162, 1050.1621, 1050.4591, 1051.9633, 1050.0675
1051.8018, 1049.5656, 1052.0538, 1051.1124, 1052.7759, 1055.5928, 1053.6554, 1053.6554, 1052.0911, 1052.3868, 1053.8912, 1051.9933
1053.7311, 1051.4927, 1053.9807, 1053.0378, 1054.7122, 1057.5303, 1055.5941, 1055.5941, 1054.0197, 1054.3142, 1055.8187, 1053.9186
1055.6598, 1053.4194, 1055.9071, 1054.9628, 1056.6479, 1059.4672, 1057.5322, 1057.5322, 1055.9478, 1056.2411, 1057.7457, 1055.8434
1057.5881, 1055.3457, 1057.833, 1056.8872, 1058.5833, 1061.4034, 1059.4697, 1059.4697, 1057.8752, 1058.1674, 1059.6721, 1057.7677
1059.516, 1057.2715, 1059.7584, 1058.8113, 1060.5179, 1063.3391, 1061.4067, 1061.4067, 1059.8024, 1060.0933, 1061.598, 1059.6915
1061.4432, 1059.1967, 1061.6833, 1060.7349, 1062.452, 1065.2743, 1063.3433, 1063.3433, 1061.7291, 1062.0186, 1063.5234, 1061.6147
1063.3701, 1061.1215, 1063.6078, 1062.658, 1064.3856, 1067.2087, 1065.2792, 1065.2792, 1063.6553, 1063.9435, 1065.4482, 1063.5376
1065.2964, 1063.0458, 1065.5317, 1064.5806, 1066.3186, 1069.1427, 1067.2145, 1067.2145, 1065.5809, 1065.8679, 1067.3726, 1065.46
1067.2223, 1064.9695, 1067.4553, 1066.5028, 1068.2511, 1071.076, 1069.1493, 1069.1493, 1067.5062, 1067.7917, 1069.2964, 1067.3817
1069.1476, 1066.8928, 1069.3783, 1068.4246, 1070.183, 1073.0087, 1071.0835, 1071.0835, 1069.4309, 1069.7152, 1071.2196, 1069.3031
1071.0725, 1068.8157, 1071.3008, 1070.3458, 1072.1143, 1074.9408, 1073.0172, 1073.0172, 1071.3552, 1071.6382, 1073.1425, 1071.224
1072.9968, 1070.738, 1073.2228, 1072.2667, 1074.045, 1076.8724, 1074.9503, 1074.9503, 1073.2791, 1073.5605, 1075.0646, 1073.1443
1074.9208, 1072.6598, 1075.1444, 1074.1871, 1075.9753, 1078.8033, 1076.8829, 1076.8829, 1075.2024, 1075.4825, 1076.9863, 1075.0642
1076.8441, 1074.5812, 1077.0654, 1076.1071, 1077.905, 1080.7336, 1078.8149, 1078.8149, 1077.1252, 1077.4039, 1078.9075, 1076.9835
1078.7671, 1076.5021, 1078.9861, 1078.0266, 1079.8341, 1082.6635, 1080.7463, 1080.7463, 1079.0476, 1079.325, 1080.8281, 1078.9025
1080.6895, 1078.4224, 1080.9061, 1079.9457, 1081.7627, 1084.5927, 1082.6772, 1082.6772, 1080.9695, 1081.2455, 1082.7483, 1080.8208
1082.6115, 1080.3423, 1082.8257, 1081.8643, 1083.6907, 1086.5212, 1084.6077, 1084.6077, 1082.8909, 1083.1654, 1084.6678, 1082.7388
1084.5328, 1082.2617, 1084.7449, 1083.7823, 1085.6182, 1088.4492, 1086.5375, 1086.5375, 1084.8119, 1085.085, 1086.5869, 1084.6561
1086.4539, 1084.1807, 1086.6636, 1085.7001, 1087.545, 1090.3766, 1088.4667, 1088.4667, 1086.7323, 1087.0039, 1088.5055, 1086.573
1088.3743, 1086.099, 1088.5817, 1087.6172, 1089.4714, 1092.3033, 1090.3954, 1090.3954, 1088.6523, 1088.9225, 1090.4235, 1088.4895
1090.2942, 1088.017, 1090.4994, 1089.5341, 1091.3972, 1094.2295, 1092.3235, 1092.3235, 1090.5719, 1090.8405, 1092.3409, 1090.4054
