ORIGINAL Aa
"6 Clusters" "183 Groups"
"Global Silhouette" 0.2784 "Silhouette Scores"
"Event ID" #Groups Mean Std #Particles
5 88 0.2655 0.2105 22
0 34 0.1130 0.2005 16
1 29 0.2776 0.2117 11
4 13 0.4121 0.1103 4
2 11 0.6190 0.0843 4
3 8 0.4409 0.1507 4

AVERAGED
"6 Clusters" "78 Groups"
"Global Silhouette" 0.2617 "Silhouette Scores"
"Event ID" #Groups Mean Std #Particles
5 26 0.1286 0.1674 17
1 22 0.2993 0.1401 17
2 15 0.2463 0.1431 13
4 5 0.3571 0.0978 4
3 5 0.4048 0.1075 4
0 5 0.5965 0.0772 4

REFINED
"6 Clusters" "72 Groups"
"Global Silhouette" 0.2953 "Silhouette Scores"
"Event ID" #Groups Mean Std #Particles "#Outliers Removed"
5 21 0.1940 0.0949 14 5
1 22 0.2993 0.1401 17 0
2 14 0.2723 0.1086 12 1
4 5 0.3571 0.0978 4 0
3 5 0.4048 0.1075 4 0
0 5 0.5965 0.0772 4 0
