ORIGINAL Ap
"6 Clusters" "139 Groups"
"Global Silhouette" 0.3121 "Silhouette Scores"
"Event ID" #Groups Mean Std #Particles
5 44 0.3970 0.1774 7
3 31 0.2178 0.1974 11
0 24 0.3126 0.1156 11
4 20 0.0800 0.1761 12
2 18 0.4922 0.1003 6
1 2 0.5981 0.0332 1

AVERAGED
"6 Clusters" "54 Groups"
"Global Silhouette" 0.2721 "Silhouette Scores"
"Event ID" #Groups Mean Std #Particles
2 14 0.2690 0.1645 10
4 11 0.1084 0.1553 10
5 10 0.3764 0.1481 6
1 9 0.2810 0.1240 7
3 5 0.2544 0.0740 5
0 5 0.4343 0.1441 5

REFINED
"6 Clusters" "50 Groups"
"Global Silhouette" 0.3009 "Silhouette Scores"
"Event ID" #Groups Mean Std #Particles "#Outliers Removed"
2 13 0.2912 0.1491 10 1
4 8 0.1904 0.0854 8 3
5 10 0.3764 0.1481 6 0
1 9 0.2810 0.1240 7 0
3 5 0.2544 0.0740 5 0
0 5 0.4343 0.1441 5 0
